peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
35,26,0.765,0.625,-3.599,0.0548,0.00111,102.101
12,25,0.639,0.703,-6.33,0.0794,0.00000178,169.888
21,24,0.575,0.648,-4.891,0.0358,0,75.977
23,23,0.594,0.612,-6.627,0.363,0,179.629
1,23,0.604,0.366,-7.519,0.0282,0,141.981
32,23,0.717,0.671,-5.077,0.0337,0.00000254,110.054
14,23,0.744,0.868,-4.524,0.047,0,93.037
149,22,0.633,0.927,-4.468,0.0839,0,146.097
7,22,0.542,0.659,-7.289,0.0389,0,120.122
133,22,0.635,0.841,-5.379,0.0422,0,109.021
116,22,0.647,0.514,-10.05,0.0593,0,79.975
9,21,0.854,0.806,-8.262,0.0886,0.0542,124.927
22,21,0.855,0.488,-4.601,0.208,0,124.097
42,21,0.787,0.833,-4.403,0.0478,0.00747,123.97
11,21,0.671,0.673,-6.941,0.0444,0.0000529,121.963
7,21,0.747,0.739,-6.008,0.0487,0.0000222,120.996
12,21,0.658,0.671,-12.21,0.0363,0.000927,100.966
3,21,0.728,0.783,-4.424,0.266,0,77.011
5,20,0.803,0.597,-6.035,0.141,0.0000045,136.008
30,20,0.711,0.611,-5.453,0.33,0,134.093
23,20,0.754,0.763,-4.627,0.0435,0.0000223,117.953
44,20,0.759,0.842,-3.758,0.096,0,105.059
9,20,0.687,0.781,-4.806,0.053,0,97.014
130,20,0.76,0.703,-5.412,0.054,0,95.997
18,20,0.812,0.855,-3.725,0.0554,0.000167,90.04
15,20,0.7,0.49,-5.187,0.076,0,79.982
1,19,0.52,0.731,-5.338,0.0557,0.00101,173.93
3,19,0.666,0.465,-8.545,0.26,0,167.937
1,19,0.695,0.54,-5.692,0.0493,0,121.932
16,19,0.798,0.545,-6.466,0.168,0.0000948,118.029
1,19,0.631,0.518,-8.771,0.0303,0,93.023
52,19,0.86,0.791,-4.784,0.0568,0.000106,92.023
59,19,0.559,0.559,-6.425,0.0358,0,72.498
45,18,0.746,0.844,-3.499,0.0359,0,123.014
2,18,0.902,0.582,-5.902,0.109,0.00000318,107.005
