track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
That That (prod. & feat. SUGA of BTS),"PSY, SUGA",21,5,0.905,0.962,-3.197,0.0856,0,129.969
Ai Preto,"L7NNON, DJ Biel do Furduncinho, Bianca",140,5,0.953,0.57,-5.149,0.245,0,129.947
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1,5,0.621,0.782,-5.548,0.044,0.033,128.033
Afraid To Feel,LF SYSTEM,150,5,0.578,0.912,-3.929,0.114,0.00362,127.87
PUFFIN ON ZOOTIEZ,Future,40,5,0.883,0.657,-5.748,0.305,0,124.992
Calm Down,Rema,130,5,0.814,0.789,-6.29,0.0405,0.000502,107.003
Betty (Get Money),Yung Gravy,78,5,0.723,0.772,-6.784,0.0792,1.15E-05,102.004
Yo Voy (feat. Daddy Yankee),Zion & Lennox,63,5,0.808,0.697,-5.899,0.241,0,95.06
Apocalypse,Cigarettes After Sex,135,5,0.369,0.467,-9.018,0.0274,0.46,94.473
San Lucas,Kevin Kaarl,149,5,0.577,0.363,-12.378,0.0263,0.000282,91.511
